Gremio,Nombre,Dirección,Teléfono,Email,Persona de contacto,Web,Lat,Lon,ID,Fuente
aire acondicionado,Climanieto,"Carrer de Lleida, 10, 12004 Castelló de la Plana, Castelló, España, 12004, Castelló de la Plana, Castelló, España",609 38 56 20,,,,39.9933796,-0.0345126,gplace/None,Google
aire acondicionado,Mejor Clima | Climatización Castellón,"Ronda Oeste, Polígono Industrial, Mercado de Abastos, Nave 9, 12006 Castellón de la Plana, Castellón, España, 12006, Castellón de la Plana, Castellón, España",613 50 71 53,,,http://mejorclimacastellon.es/,40.002002,-0.066172,gplace/None,Google
aire acondicionado,Climacasim,"12560 Benicasim, Castellón, España, 12560, Benicasim, Castellón, España",624 56 39 10,,,,40.053667,0.0649283,gplace/None,Google
aire acondicionado,Enercom,"C/ del Bisbe Salinas, 81, 12003 Castelló de la Plana, Castelló, España, 12003, Castelló de la Plana, Castelló, España",964 72 47 50,,,https://enercominstalaciones.com/,39.9834283,-0.0286473,gplace/None,Google
aire acondicionado,"INSTALACIONES MONTEC. Climatización, Instalación aire acondicionado Castellón, Electricidad.","Carrer Molí de Foc, 12, 12191 La Pobla Tornesa, Castelló, España, 12191, La Pobla Tornesa, Castelló, España",601 86 96 42,,,,40.0999498,-0.0012678,gplace/None,Google
aire acondicionado,Electrofrío Castellón,"Pl. de Donoso Cortés, 8, BAJOS, 12004 Castelló de la Plana, Castelló, España, 12004, Castelló de la Plana, Castelló, España",607 72 76 18,,,http://electrofrio.com/,39.9918487,-0.0448589,gplace/None,Google
aire acondicionado,AGUACLIMA,"Carrer Maria de Luna, 12, 12540 Vila-real, Castelló, España, 12540, Vila-real, Castelló, España",964 53 51 51,,,,39.94442009999999,-0.09441079999999999,gplace/None,Google
aire acondicionado,Termicas Castellò,"Carrer de Josp Bertomeu Gimeno, 3, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",646 56 70 84,,,,39.9933509,-0.0631419,gplace/None,Google
aire acondicionado,Instalaciones J.L. Guarque,"Carrer Puig, 12, 12004 Castelló de la Plana, Castelló, España, 12004, Castelló de la Plana, Castelló, España",964 22 15 61,,,,39.9922995,-0.0326627,gplace/None,Google
aire acondicionado,"FRICAG Soluciones Técnicas, S.L.","de Castellón, Carrer Rambla de la Viuda, fase 2, Nave 3, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",661 23 93 72,,,https://www.fricag.com/,39.9706219,-0.059721,gplace/None,Google
aire acondicionado,FONT-REAL,"Carrer Benicarló, 54, Bajo, 12540 Villarreal, Castellón, España, 12540, Villarreal, Castellón, España",652 81 34 36,,,https://fontrealfontaneria.com/,39.9321147,-0.1022089,gplace/None,Google
aire acondicionado,BICLIMA,"Av. de Casalduch, 53, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 25 71 82,,,http://biclima.es/,39.9777291,-0.0406854,gplace/None,Google
aire acondicionado,Doctor Clima Castelló,"Carrer Mossén Llorenç Cot, 12100 Castellón, Castelló, España, 12100, Castellón, Castelló, España",682 87 44 03,,,https://sites.google.com/view/doctorclimacastello?usp=sharing,39.9708547,0.010637,gplace/None,Google
aire acondicionado,Reber,"Avinguda de Castelló, 68, 12560 Benicàssim, Castelló, España, 12560, Benicàssim, Castelló, España",964 74 60 25,,,https://reberfret.com/,40.0521652,0.05824870000000001,gplace/None,Google
aire acondicionado,"FONT Climatización. Aire acondicionado, agua caliente y calefacción.","Carrer de Sant Francesc, 40, 12002 Castelló de la Plana, Castelló, España, 12002, Castelló de la Plana, Castelló, España",964 21 25 79,,,http://www.fontclima.net/,39.9833429,-0.0413723,gplace/None,Google
aire acondicionado,Instalaciones Climanova,"Carrer Jaume Roig, 50, 12540 Vila-real, Castelló, España, 12540, Vila-real, Castelló, España",664 13 23 19,,,http://instalacionesclimanova.es/,39.9405682,-0.0921816,gplace/None,Google
aire acondicionado,Dani Climatización Burriana,"Carrer el Barranquet, 19, 12530 Borriana, Castelló, España, 12530, Borriana, Castelló, España",626 89 41 06,,,,39.8893691,-0.0830267,gplace/None,Google
aire acondicionado,Técnicos Benidefon frío y calor,"Carrer Pintor Joan Reus, 39, 12192 Vilafamés, Castelló, España, 12192, Vilafamés, Castelló, España",639 24 71 73,,,http://www.benidefontecnicos.org/,40.11753239999999,-0.0522028,gplace/None,Google
aire acondicionado,Javier Aire Acondicionado S.L.,"Carrer de Barrachina, 77, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",690 61 91 04,,,,39.9821295,-0.0495365,gplace/None,Google
aire acondicionado,D.T.C Desarrollos Tecnológicos del Clima,"Carrer Estatut d'Autonomia, 6, bajo 2, 12550 Almazora, Castellón, España, 12550, Almazora, Castellón, España",964 91 08 95,,,,39.9485773,-0.0587473,gplace/None,Google
aire acondicionado,SALVADOR ESCODA,"Av. Enrique Gimeno, 24, 12006 Castellón de la Plana, Castellón, España, 12006, Castellón de la Plana, Castellón, España",964 24 72 11,,,https://www.salvadorescoda.com/,39.9728334,-0.0666485,gplace/None,Google
aire acondicionado,Ibérica Instalaciones S.L.,"Av. Corts Valencianes, 11, 12530 Borriana, Castelló, España, 12530, Borriana, Castelló, España",678 96 38 82,,,https://www.ibericainstalaciones.com/,39.8872033,-0.07941179999999999,gplace/None,Google
aire acondicionado,MediaMarkt,"Ciutat del Transport, C. Grecia, 4, C.C, 12006 Castellón de la Plana, Castellón, España, 12006, Castellón de la Plana, Castellón, España",900 205 000,,,https://www.mediamarkt.es/?utm_source=google-places&utm_medium=seo-places-link&utm_campaign=rt_google-places_consideration_nsp_966_extended-network,39.9774945,-0.06941649999999999,gplace/None,Google
aire acondicionado,LA FONTANERIA 2.0,"Av. de Madrid, 8, 12594 Oropesa, Castellón, España, 12594, Oropesa, Castellón, España",642 38 98 99,,,,40.0883273,0.1397879,gplace/None,Google
aire acondicionado,Aquaclim,"Caseta Blanca, Plaça Arnau de Vilanova, 20B, 12194 Villanueva de Alcolea, Castellón, España, 12194, Villanueva de Alcolea, Castellón, España",643 90 88 99,,,https://www.aquaclim.net/,40.2305901,0.07273879999999999,gplace/None,Google
aire acondicionado,DOS20 ELECTRICIDAD Y CLIMATIZACIÓN,"Carrer de Manuel Azaña, 12, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",615 19 43 40,,,https://dos20electricidadyclimatizacion.es/,39.9744841,-0.0530652,gplace/None,Google
aire acondicionado,Fadri Servicios Técnicos,"Carrer de Jordi Juan, 39, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",964 21 04 94,,,http://fadrisat.es/,39.9808603,-0.0445597,gplace/None,Google
aire acondicionado,Refrigeración Castellon,"Pol. Ind. Acceso Sur - C/ Francia, nave 4F, 12006, Castellón, España, 12006, Castellón, España",647 74 86 11,,,http://www.refricas.es/,39.9793218,-0.0805704,gplace/None,Google
aire acondicionado,ABC-CLIMA,"Rda. Panderola, 28, 12530 Burriana, Castellón, España, 12530, Burriana, Castellón, España",678 51 49 64,,,,39.8903287,-0.0897408,gplace/None,Google
aire acondicionado,Comercial de Fontanería BBC,"C/ ITALIA, NAVE 209 - CIUDAD DEL TRANSPORTE, 12006 CASTELLON, Castellón, España, 12006, CASTELLON, Castellón, España",964 10 10 31,,,http://comercialbbc.com/,39.971553,-0.071527,gplace/None,Google
aire acondicionado,Instalaciones Gomes,"Carrer de les Boqueres, 365, 12550 Almassora, Castelló, España, 12550, Almassora, Castelló, España",960 23 14 02,,,https://instalacionesgomes.es/,39.9547524,-0.05944920000000001,gplace/None,Google
aire acondicionado,Tecnicastellón Climatizacion,"Carrer la Mata de Morella, 11, 12006 Castelló de la Plana, Castelló, España, 12006, Castelló de la Plana, Castelló, España",652 40 14 91,,,https://www.tecnicastellon.com/,39.9842102,-0.0497387,gplace/None,Google
aire acondicionado,Tecnoklima,"C/ Els Ports, 3, Direccion a partir del 1 de Diciembre 2007, 12005 Castellón de la Plana, Castellón, España, 12005, Castellón de la Plana, Castellón, España",964 25 19 44,,,,39.964326,-0.063707,gplace/None,Google
aire acondicionado,IRV,"C. Onda, 42, BAJO, 12006 Castellón de la Plana, Castellón, España, 12006, Castellón de la Plana, Castellón, España",964 06 79 39,,,http://irv.es/,39.9796031,-0.0523168,gplace/None,Google
