Gremio,Nombre,Dirección,Teléfono,Email,Web,Rating,Opiniones,Lat,Lon,Fuente
Aire acondicionado,"CPV Servicio Técnico. Electricidad, Fontanería, Carpintería, Aire Acondicionado y Reformas","Carrer de la Mare de Déu de la Paciència, 1, 12594 Orpesa, Castelló",722 47 18 35,info@cpvserviciotecnico.com,https://www.cpvserviciotecnico.com/,4.9,37,40.0899822,0.1361145,Google
Aire acondicionado,Electrodomésticos Miguel,"Carrer de Cabanes, 14, Bajo, 12594 Orpesa, Castelló",964 31 25 85,,,4.5,238,40.093171999999996,0.138842,Google
Aire acondicionado,"INSTALACIONES MONTEC. Climatización, Instalación aire acondicionado Castellón, Electricidad.","Carrer Molí de Foc, 12, 12191 La Pobla Tornesa, Castelló",601 86 96 42,,,5.0,19,40.0999498,-0.0012678,Google
Aire acondicionado,LA FONTANERIA 2.0,"Av. de Madrid, 8, 12594 Oropesa, Castellón",642 38 98 99,,,4.2,30,40.088327299999996,0.1397879,Google
Aire acondicionado,Euronics la Plana,"Ferrán I de Antequera, 24, 12594 Oropesa, Castellón",964 31 13 09,,https://www.euronics.es/tiendas/euronics-la-plana.html?utm_source=G&utm_medium=&utm_campaign=google-local,4.5,118,40.090297,0.138064,Google
Aire acondicionado,Fontanería Lavernia- Cabanes,"Carrer de Saragossa, 9, Adosado 6, 12594 Orpesa, Castelló",646 94 07 86,,https://cys-fontanerialavernia.com/,5.0,47,40.0861047,0.14457419999999999,Google
Aire acondicionado,Climanieto,"Carrer de Lleida, 10, 12004 Castelló de la Plana, Castelló",609 38 56 20,,,4.4,119,39.9933796,-0.0345126,Google
Aire acondicionado,Climacasim,"12560 Benicasim, Castellón",624 56 39 10,,,5.0,35,40.053667,0.0649283,Google
Aire acondicionado,Innovatuhogar,"C. María Zambrano, LOCAL 3, 12594 Oropesa, Castellón",642 35 36 24,soporte@webador.es,https://www.innovatuhogar.com/,4.7,118,40.1208441,0.15258529999999998,Google
Aire acondicionado,Electrodomésticos SERI | Tienda de electrodomésticos,"Av. de Madrid, 8, local, 12594 Orpesa, Castelló",639 57 59 06,,https://www.mastercadena.es/,4.5,32,40.088327299999996,0.1397879,Google
Aire acondicionado,Termicas Castellò,"Carrer de Josp Bertomeu Gimeno, 3, 12006 Castelló de la Plana, Castelló",646 56 70 84,,,4.8,23,39.993350899999996,-0.0631419,Google
Aire acondicionado,Técnicos Benidefon frío y calor,"Carrer Pintor Joan Reus, 39, 12192 Vilafamés, Castelló",639 24 71 73,js@hoffnnmazor.com,http://www.benidefontecnicos.org/,4.9,122,40.117532399999995,-0.0522028,Google
Aire acondicionado,Reber,"Avinguda de Castelló, 68, 12560 Benicàssim, Castelló",964 74 60 25,n@reberfret.com,https://reberfret.com/,4.9,62,40.0521652,0.05824870000000001,Google
Aire acondicionado,lnstalaciones Mauleon S.L.,"Avinguda de l'Estació, 41, local 3, 12594 Orpesa, Castelló",964 31 14 29,,,3.0,2,40.0923594,0.13939089999999998,Google
Aire acondicionado,Enercom,"C/ del Bisbe Salinas, 81, 12003 Castelló de la Plana, Castelló",964 72 47 50,contacto@enercominstalaciones.com,https://enercominstalaciones.com/,4.6,131,39.9834283,-0.0286473,Google
Aire acondicionado,ISANFRED,"Carrer d'Enmig, 12191 La Pobla Tornesa, Castelló",687 80 30 13,,https://www.isanfred.com/,5.0,6,40.101493,-0.0010356999999999999,Google
Aire acondicionado,Javier Aire Acondicionado S.L.,"Carrer de Barrachina, 77, 12006 Castelló de la Plana, Castelló",690 61 91 04,,,3.2,14,39.9821295,-0.0495365,Google
Aire acondicionado,CLIMAFRED CONTROL S.L.,"Carrer Vilafamés, 18, 12191 La Pobla Tornesa, Castelló",964 91 45 99,info@hyfrema.com,https://www.climafredcontrol.com/,5.0,4,40.103544899999996,-0.0025605,Google
Aire acondicionado,Mejor Clima | Climatización Castellón,"Ronda Oeste, Polígono Industrial, Mercado de Abastos, Nave 9, 12006 Castellón de la Plana, Castellón",613 50 71 53,mejorclimacastellon@gmail.com,http://mejorclimacastellon.es/,4.8,25,40.002002,-0.066172,Google
Aire acondicionado,"FRICAG Soluciones Técnicas, S.L.","de Castellón, Carrer Rambla de la Viuda, fase 2, Nave 3, 12006 Castelló de la Plana, Castelló",661 23 93 72,sevicios@fricag.com,https://www.fricag.com/,4.4,10,39.9706219,-0.059720999999999996,Google
