Gremio,Nombre,Dirección,Teléfono,Email,Web,Rating,Opiniones,AbiertoAhora,HorarioHoy,GoogleMaps,Lat,Lon,Fuente
Fontaneros,carpinteria de aluminio cenasa MULTISERVICIOS,"C. Canto de la Visita, 14, 16 Bajo, 05470 Pedro Bernardo, Ávila",619 43 91 73,,,5.0,1.0,True,martes: 9:00–19:00,https://maps.google.com/?cid=2023404211860440510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2426736,-4.9096801,Google
Fontaneros,Calefacción y Fontanería Mile,"P.º Pintor Martínez Vázquez, 14, 05400 Arenas de San Pedro, Ávila",629 12 56 37,,,5.0,7.0,True,martes: 9:00–19:00,https://maps.google.com/?cid=9686369026017089959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.211445499999996,-5.085254,Google
Fontaneros,Fontanería Saneamientos y Decoración Serrano,"05413 Mombeltrán, Ávila, España",643 61 66 21,,,3.0,2.0,,,https://maps.google.com/?cid=839225980937581585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2583388,-5.0192473,Google
Fontaneros,Encarnación Blazques Fernández,"C. la Callejuela, 8, 05470 Pedro Bernardo, Ávila",,,,,,,,https://maps.google.com/?cid=16115668319118204213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2434738,-4.911343899999999,Google
Fontaneros,Grupo Multiservicios Jpsa,"C. Hermanos Clemente Romeo, 3, LOCAL Bajo 1, 05003 Ávila",633 27 91 34,,http://www.multiserviciosjordipaniagua.es/,4.5,32.0,True,martes: Abierto 24 horas,https://maps.google.com/?cid=5357247241582360404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.651280899999996,-4.6915393,Google
Fontaneros,"FONCALCER, SL","C. los Lagares, 15, 05350 San Pedro del Arroyo, Ávila",630 01 65 56,,http://www.foncalcer.es/,4.5,6.0,True,martes: 9:00–20:00,https://maps.google.com/?cid=15466046642653132254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.800871799999996,-4.8707848,Google
Fontaneros,Avila Fontaneros,"C. Ntra. Señora de Sonsoles, 05002 Ávila",663 00 06 30,,http://fontanerosenavila.es/,,,True,martes: Abierto 24 horas,https://maps.google.com/?cid=14266776596698750053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.6487994,-4.6979406,Google
Fontaneros,SAT TAHER,"C. Sgto. Provisional, 16, 05003 Ávila",920 25 18 96,avisos@sattaher.com,https://www.sattaher.com/,2.8,77.0,True,"martes: 9:00–14:00, 16:00–19:00",https://maps.google.com/?cid=5423978521689316766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.6519671,-4.6919761,Google
Fontaneros,Novoa Pérez Instalaciones,"C. Teso del Hospital Viejo, 6, BAJO, 05002 Ávila",920 22 86 15,,,3.1,10.0,True,"martes: 8:30–13:30, 15:00–19:00",https://maps.google.com/?cid=232938062704828273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.6529751,-4.7026102,Google
Fontaneros,Tafoman S.L.,"C. San Pedro Bautista, 21, 05005 Ávila",639 34 36 11,,,2.0,1.0,,,https://maps.google.com/?cid=1734034971484546657&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.6582742,-4.690555499999999,Google
