Gremio,Nombre,Dirección,Teléfono,Email,Web,Rating,Opiniones,Lat,Lon,Fuente
fontaneros,FONTASER,"Urbanizacion Nuevo Versalles, 32, 28942 Fuenlabrada, Madrid",639 28 97 48,,http://fontaserfontanerofuenlabrada.blogspot.com/,4.9,202.0,40.2970332,-3.8314296000000003,Google
fontaneros,Soluciones Fontanería y Albañilería - 24 Horas Urgencias Madrid,"C. Don Quijote, 9, 28922 Alcorcón, Madrid",686 74 34 82,,https://www.soluciones-de-fontaneria.es/,4.9,49.0,40.3409739,-3.8296235999999997,Google
fontaneros,Fontaneros urgentes 24 hs Madrid | Fontanería Reformas Rubio S.L.,"C. Puerto Guadarrama, 41, nave 20, 28935 Móstoles, Madrid",687 64 12 86,reformasrubiomadrid@gmail.com,https://www.reformasrubio.es/fontaneros-urgentes-en-madrid,4.1,57.0,40.351962,-3.8724490000000005,Google
fontaneros,Instalaciones Las Palmas,"C. de las Palmas, 66, 28938 Móstoles, Madrid",607 71 70 32,,,4.8,37.0,40.317759099999996,-3.8678249,Google
fontaneros,Fontanero Móstoles,"Calle Coronel de Palma, 1, 28934 Móstoles, Madrid",919 93 21 57,,https://sites.google.com/view/fontanero-mstoles/inicio,5.0,3.0,40.3189582,-3.8718514,Google
fontaneros,Servi fontaneros,"C. del Nogal, 5, 28942 Fuenlabrada, Madrid",919 93 09 85,,https://servifontaneros.es/,4.9,56.0,40.2940126,-3.8222078999999995,Google
fontaneros,Tu Fonta Móstoles,"C. de la Libertad, 6, 28936 Móstoles, Madrid",919 93 08 71,,https://sites.google.com/view/tufontaneromstoles/inicio,4.3,6.0,40.329204399999995,-3.8557534999999996,Google
fontaneros,Fontanería H y C,"C. de Castellón de la Plana, 28, 28939 Arroyomolinos, Madrid",699 07 51 22,soporte@webador.es,http://www.fontaneriahyc.com/,4.8,47.0,40.2678657,-3.9029038999999996,Google
fontaneros,Servicios Generales Naleo S.L.,"C. Cisneros, 25, 28921 Alcorcón, Madrid",655 04 71 76,info@naleo.es,https://naleo.es/,4.6,48.0,40.34630080000001,-3.8303334999999996,Google
fontaneros,Instalaciones Y Proyectos Renagas SL,"C. de Simón Hernández, 25, 28937 Móstoles, Madrid",916 64 66 59,,,4.4,9.0,40.3215357,-3.8601619000000005,Google
fontaneros,Fontaneros 24 hr S.I.G,"C. Río Manzanares, 9, 28923 Alcorcón, Madrid",652 19 07 93,,http://www.serviciosintegralesgomez.es/,4.9,9.0,40.34619,-3.8162499999999997,Google
fontaneros,"Domifont, S.L.","C. Lacedon, 9, 28670 Villaviciosa de Odón, Madrid",646 97 17 92,,,4.9,8.0,40.3583648,-3.9047232,Google
fontaneros,Fontanero Alcorcón,"Calle la Alameda, 30, 28922 Alcorcón, Madrid",919 93 19 73,,https://sites.google.com/view/fontaneroalcorcn/inicio,5.0,4.0,40.343968499999995,-3.8304991,Google
fontaneros,SOLVENTO S. L.,"C. Porto Colón, 12, posterior, 28924 Alcorcón, Madrid",910 06 70 60,info@solvento.es,http://solvento.es/,4.2,53.0,40.349143999999995,-3.8173154000000005,Google
fontaneros,Fontaneros - reparaciones - instalaciones Torrientes,"C. de Santiago Ramón y Cajal, 139, 28939 Arroyomolinos, Madrid",916 41 89 74,reparacionestorrientessl@yahoo.es,http://www.instalaciones-fontaneria.com/,3.9,71.0,40.2999529,-3.8964546999999996,Google
fontaneros,Fontanero Villaviciosa de Odón,"Odonbuild, C. Cueva de la Mora, 7, 28670 Villaviciosa de Odón, Madrid",919 93 09 47,,https://sites.google.com/view/fontanero-villaviciosa-de-odn/inicio,5.0,4.0,40.3562361,-3.907941299999999,Google
fontaneros,Caldera y Confort S.L,"P.º de Arroyomolinos, 36, 28938 Móstoles, Madrid",916 64 06 14,,http://calderayconfort.com/,4.5,61.0,40.3173569,-3.8697413000000003,Google
fontaneros,Proyectos Fongas S.L,"C. Aldeanueva de la Vera, 10, Latina, 28044 Madrid",686 17 64 30,,,4.7,91.0,40.380456099999996,-3.7771219000000005,Google
fontaneros,Fontanero Calefactor Raúl López García,"C. Écija, 97, 28231 Las Rozas de Madrid, Madrid",649 39 36 20,raulfonta70@hotmail.com,http://www.fontaneroraullopezgarcia.es/,4.9,253.0,40.4878778,-3.8890753,Google
fontaneros,El Fontanero Urgente,"C. Galileo, 3, nave 27 B, 28914 Leganés, Madrid",634 31 90 36,pin@2x.png,http://www.elfontanerourgente.com/,4.3,40.0,40.310618,-3.8053969999999997,Google
fontaneros,Instala tu caldera,"Av. de Portugal, 73, LOCAL 1, 28934 Móstoles, Madrid",911 69 77 88,venta@instalatucaldera.com,https://www.instalatucaldera.com/,4.8,292.0,40.3208536,-3.8744151999999996,Google
fontaneros,SATHOGAR®,"El Santo de la Isidra, 31, Villaverde, 28041 Madrid",691 08 91 99,info@sathogar.eu,https://sathogar.pro/,4.7,382.0,40.353651,-3.7041674999999996,Google
fontaneros,SAT LEGANES,"C. de Méjico, 30, LOCAL 2, 28918 Leganés, Madrid",916 88 14 44,,https://fpiquero.es/,4.9,21.0,40.341899,-3.769211,Google
fontaneros,Serpasat Instalaciones S.L.,"C. Urano, 27, 28936 Móstoles, Madrid",916 65 59 51,serpasat@serpasat.net,https://serpasat.net/,4.6,9.0,40.3119733,-3.8435433,Google
fontaneros,SAT Madrid Servicio Técnico Electrodomésticos,"Parque Empresarial Prado del Espino, C. Impresores, 20, 28660 Boadilla del Monte, Madrid",916 48 02 45,sat@reparacion-electrodomesticos.es,https://reparacion-electrodomesticos.es/,3.5,250.0,40.3950648,-3.8476726,Google
fontaneros,Reparaciones de Fontanería,"C. de la Basílica, 15, Tetuán, 28020 Madrid",919 93 03 55,,https://sites.google.com/view/reparacionesfontaneromuoz/inicio,4.3,7.0,40.4491158,-3.6957099,Google
fontaneros,Sat S L,"C. de Toledo, 168, Arganzuela, 28005 Madrid",902 11 99 30,,,1.0,3.0,40.402842799999995,-3.7137441,Google
fontaneros,"Ecosat Madrid S.L. | Servicio Técnico Oficial Ariston, Chaffoteaux, Fleck de calderas","C. Laguna del Marquesado, 49, A, Villaverde, 28021 Madrid",911 61 00 27,info@ecosatmadrid.com,https://ecosatmadrid.com/,4.3,1174.0,40.3334547,-3.7104667,Google
fontaneros,"Fontanero Carballeira, Fontanería Las Rozas","C. Tulipán, 2, bloque 4 planta baja A, 28231 Las Rozas de Madrid, Madrid",636 61 84 60,info@fontaneriacarballeira.com,https://fontaneriacarballeira.es/,4.9,99.0,40.5006608,-3.8666323,Google
fontaneros,SAT REPARACION MULTISERVICIOS,"C. Benadalid, Puente de Vallecas, 28018 Madrid",911 29 87 84,,https://www.satreparacion.com/,3.4,34.0,40.386331,-3.6384580000000004,Google
fontaneros,SAT PROFESIONAL,"SAN DEOGRACIAS,13, LOCAL 1, Latina, 28044 Madrid",688 92 28 86,,,,,40.377587999999996,-3.7714459999999996,Google
fontaneros,Tobenair,"C. la Florida, 1, NAV 19 (pol. ind, 28670 Villaviciosa de Odón, Madrid",916 65 79 45,info@tobenair.es,https://www.tobenair.es/,5.0,3.0,40.3494537,-3.9016787,Google
fontaneros,Instalaciones Malaquías S.L.U.,"Servicio técnico y Postventa repuestos Grohe, Calle del Corregidor José de Pasamonte, 19, Moratalaz, 28030 Madrid",914 09 56 56,,,4.5,133.0,40.41035730000001,-3.6479328000000004,Google
fontaneros,Tecnirep Servicios,"C. Gamonal, 21, 1ºd, Vallecas, 28031 Madrid",915 78 68 95,contacto@aalectric.es,https://www.tecnirep.es/,3.9,257.0,40.373042399999996,-3.6441133999999993,Google
fontaneros,Gremisat SL,"Poligono Industrial de Villaverde, C. del Valle de Tobalina, 26, Villaverde, 28021 Madrid",917 95 27 02,consultas@gremiline.es,http://www.gremisat.com/,4.0,534.0,40.3365539,-3.7149143,Google
fontaneros,Servicio Técnico Oficial Saunier Duval Catemanp,"Cl. Andalucia, 13, BAJO 6, 28903 Getafe, Madrid",918 00 07 89,,https://www.serviciotecnicooficial.saunierduval.es/sats/catemanp-s-l-13/,4.4,456.0,40.3105104,-3.7173712999999995,Google
fontaneros,Instalaciones S.L.,"C. del Puerto de Tarancón, 28, Puente de Vallecas, 28038 Madrid",917 25 72 49,,,4.2,5.0,40.4025105,-3.6646807,Google
fontaneros,MG Instalaciones,"C. Cabeza Mesada, 20, Vallecas, 28031 Madrid",609 03 65 04,contacto@ejemplo.com,https://mgbinstalaciones.webnode.es/,5.0,23.0,40.3740405,-3.6266217999999997,Google
